 Year ; ID   ; Expected ; Clearly ;SO-SO;Not;Strongest Topic;Right?;;
2013;461;4;2;1;1; reinforcment learning ; NO   ;;
2011;245;5;4;0;1; abnormality ; YES            ;;
2016;899;3;1;1;1; neuroscience ; YES           ;;
2010;136;5;2;2;1; perception ; NO              ;;
2017;1020;5;4;1;0; society ; NO                 ;;
2015;793;4;2;1;1; first person ; YES           ;;
2017;1060;4;3;0;1; neural network ; NO          ;;
2017;1064;3;2;0;1; society ; YES                ;;
2013;459;1;1;0;0; movement ; YES               ;;
2012;370;3;2;0;1; movement ; YES               ;;
2014;607;3;3;0;0; Sense-making; YES           ;;
2017;1052;4;4;0;1; decision making ; NO         ;;
2017;1014;3;3;0;0; Sense-making; YES           ;; 
2015;761;4;1;2;1; abnormality ; YES            ;;
2017;1012;6;3;0;3; categorization ; YES         ;;
2016;888;5;2;2;1; society ; YES                ;;
2013;440;4;1;2;1; Sense-making; NO            ;;
2012;300;1;1;0;0; neuroscience ; YES           ;;
2018;1103;4;2;2;0; society ; YES                ;;
2008;6;3;1;2;0; learning ; NO                ;;
2016;863;4;2;1;1; language ; YES               ;;
2017;959;5;3;0;2; neuroscience ; NO            ;;
2010;149;5;4;0;1; neural networks ; NO         ;;
2017;952;2;1;1;0; TMS ; YES                    ;;
2012;309;5;1;0;4; movement ; NO                ;;
2017;1039;4;1;1;2; neuroscience ; YES           ;;
2014;564;3;3;0;0; reinforcment learning ; YES  ; ;
2017;971;5;3;2;0; decision making ; NO         ;;
2013;404;4;4;0;0; attention ; NO               ;;
2011;246;4;2;2;0; reinforcment learning ; NO   ;;
2016;890;4;1;0;3; neuroscience ; YES           ;;
2013;484;2;1;0;1; neuroscience ; YES           ;;
2014;595;4;2;1;0; games ; YES                  ;;
2016;905;3;2;0;1; Sense-making; YES           ;;
2013;441;3;2;0;1; TMS ; NO                     ;;
2012;302;5;4;0;1; reasoning ; YES              ;;
2014;617;4;4;0;1; neural networks ; NO         ;;
2016;847;3;0;2;1; decision making ; NO         ; ;
2012;362;4;3;1;0; perception ; YES             ;;
2014;587;4;2;1;1; decision making ; NO         ;;
2016;809;2;1;0;1; neuroscience ; YES           ;;
2015;741;1;1;0;0; decision making ; YES        ;;
2016;849;4;2;1;1; percpetion ; NO              ;;
2012;322;4;2;1;1; neuroscience ; YES           ;;
2018;1122;4;3;0;1; sound ; YES                  ;;
2017;1031;2;2;0;0; TMS ; YES                    ;;
2011;2013;2;2;0;0; language ; YES               ;;
2017;976;3;2;1;0; society ; YES                ;;
2015;700;1;1;0;0; language ; YES               ;;
2016;855;3;3;0;0; movement ; NO                ;;
